ID,Year Birth,Education,Relationship Status,Kid in Home,Teen in Home,Date Customer,Recency,Amount of Wines,Amount of Fruits,Amount of Meat Products,Amount of Fish Products,Amount of Sweet Products,Amount of Gold Products,Num of Deals Purchases,Num of Web Purchases,Num of Catalog Purchases,Num of Store Purchases,Num of Web Visits Month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total Num of Purchases,Total Amount,Age,Age Group,Campaign Participation
5524,1957,Bachelor,Single,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,22,1617,68,Lansia (>65),Yes
2174,1954,Bachelor,Single,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,4,27,71,Lansia (>65),No
4141,1965,Bachelor,In Relationship,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,20,776,60,Paruh Baya (51-65),No
6182,1984,Bachelor,In Relationship,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,6,53,41,Dewasa (36-50),No
5324,1981,PhD,In Relationship,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,14,422,44,Dewasa (36-50),No
7446,1967,Master,In Relationship,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,20,716,58,Paruh Baya (51-65),No
965,1971,Bachelor,Single,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,17,590,54,Paruh Baya (51-65),No
6177,1985,PhD,In Relationship,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,8,169,40,Dewasa (36-50),No
4855,1974,PhD,In Relationship,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,5,46,51,Paruh Baya (51-65),Yes
5899,1950,PhD,In Relationship,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,1,49,75,Lansia (>65),Yes
1994,1983,Bachelor,In Relationship,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,3,19,42,Dewasa (36-50),No
387,1976,Below Bachelor's Degree,In Relationship,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,5,61,49,Dewasa (36-50),No
2125,1959,Bachelor,Single,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,15,1102,66,Lansia (>65),No
8180,1952,Master,Single,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,12,310,73,Lansia (>65),No
2569,1987,Bachelor,In Relationship,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,4,46,38,Dewasa (36-50),No
2114,1946,PhD,Single,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,25,1315,79,Lansia (>65),Yes
9736,1980,Bachelor,In Relationship,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,6,96,45,Dewasa (36-50),No
4939,1946,Bachelor,In Relationship,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,11,317,79,Lansia (>65),No
6565,1949,Master,In Relationship,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,24,1782,76,Lansia (>65),Yes
2278,1985,Below Bachelor's Degree,Single,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,6,133,40,Dewasa (36-50),No
9360,1982,Bachelor,In Relationship,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,11,316,43,Dewasa (36-50),No
5376,1979,Bachelor,In Relationship,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,28,1730,46,Dewasa (36-50),No
1993,1949,PhD,In Relationship,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,14,972,76,Lansia (>65),Yes
4047,1954,PhD,In Relationship,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,17,544,71,Lansia (>65),No
1409,1951,Bachelor,In Relationship,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,13,444,74,Lansia (>65),No
7892,1969,Bachelor,Single,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,6,75,56,Paruh Baya (51-65),No
2404,1976,Bachelor,In Relationship,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,10,257,49,Dewasa (36-50),No
5255,1986,Bachelor,Single,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,27,637,39,Dewasa (36-50),No
9422,1989,Bachelor,In Relationship,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,7,131,36,Dewasa (36-50),No
1966,1965,PhD,In Relationship,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,25,1672,60,Paruh Baya (51-65),Yes
